product	platform	p_group	focus_area	support_level	status	meets_volume_criteria	support_level_desc
AWS CloudFormation	AWS	Infrastructure	DevOps	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
AWS CloudHSM	AWS	Infrastructure	Security and Identity	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  aws/category/security-identity-and-compliance
AWS CloudShell	AWS	Infrastructure	DevOps	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  aws/category/developer-tools
AWS CloudTrail	AWS	Infrastructure	Core Services	SECONDARY	UNVERIFIED	TRUE	SUGGESTED because Top Focus Area in category by volume: aws/category/management-and-governance
AWS CloudTrail	AWS	Infrastructure	Security and Identity	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
AWS CodeArtifact	AWS	Infrastructure	DevOps	PRIMARY	VERIFIED	FALSE	Matches Primary Focus area NOT volume criteria
AWS CodeBuild	AWS	Infrastructure	DevOps	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
AWS CodeCommit	AWS	Infrastructure	DevOps	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  aws/category/developer-tools
AWS CodeDeploy	AWS	Infrastructure	DevOps	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
AWS CodePipeline	AWS	Infrastructure	DevOps	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
AWS CodeStar	AWS	Infrastructure	DevOps	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  aws/category/developer-tools
AWS Command Line Interface (CLI)	AWS	Infrastructure	DevOps	PRIMARY	VERIFIED	FALSE	Matches Primary Focus area NOT volume criteria
AWS Compute Optimizer	AWS	Infrastructure	Core Services	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  aws/category/management-and-governance & aws/category/compute
AWS Config	AWS	Infrastructure	Core Services	SECONDARY	UNVERIFIED	TRUE	SUGGESTED because Top Focus Area in category by volume: aws/category/management-and-governance
AWS Config	AWS	Infrastructure	DevOps	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
AWS Control Tower	AWS	Infrastructure	Core Services	SECONDARY	UNVERIFIED	TRUE	SUGGESTED because Top Focus Area in category by volume: aws/category/management-and-governance
AWS Control Tower	AWS	Infrastructure	DevOps	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
AWS Copilot	AWS	Infrastructure	DevOps	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
AWS Cost Explorer	AWS	Infrastructure	Core Services	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
AWS Cost and Usage Report	AWS	Infrastructure	Core Services	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
AWS Data Exchange	AWS	Data	Data Engineering	PRIMARY	VERIFIED	FALSE	Matches Primary Focus area NOT volume criteria
AWS Data Pipeline	AWS	Data	Data Analytics	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  aws/category/analytics
AWS DataSync	AWS	Infrastructure	Core Services	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
AWS Database Migration Service (DMS)	AWS	Data	Databases	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
AWS Deep Learning AMIs	AWS	Data	AI/ML	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  aws/category/machine-learning-and-ai
AWS Deep Learning Containers	AWS	Data	AI/ML	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  aws/category/machine-learning-and-ai
AWS DeepComposer	AWS	Data	AI/ML	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  aws/category/machine-learning-and-ai
AWS DeepLens	AWS	Data	AI/ML	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  aws/category/machine-learning-and-ai
AWS DeepRacer	AWS	Data	AI/ML	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  aws/category/machine-learning-and-ai
AWS Device Farm	AWS	Data	Data Engineering	PRIMARY	VERIFIED	FALSE	Matches Primary Focus area NOT volume criteria
AWS Direct Connect	AWS	Infrastructure	Networking	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
AWS Directory Service	AWS	Infrastructure	Security and Identity	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
AWS Distro for OpenTelemetry	AWS	Infrastructure	Core Services	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  aws/category/management-and-governance
AWS Elastic Beanstalk	AWS	Infrastructure	Core Services	SECONDARY	UNVERIFIED	TRUE	SUGGESTED because Top Focus Area in category by volume: aws/category/compute
AWS Elastic Beanstalk	AWS	Infrastructure	Serverless	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
AWS Elastic Disaster Recovery (DRS)	AWS	Infrastructure	Core Services	PRIMARY	VERIFIED	FALSE	Matches Primary Focus area NOT volume criteria
AWS Elemental Appliances & Software	AWS	Unassigned	Unassigned	FALLBACK|UNASSIGNED	UNVERIFIED	FALSE	Does not meet volume criteria and category not significant in any Focus Area
AWS Elemental MediaConnect	AWS	Unassigned	Unassigned	FALLBACK|UNASSIGNED	UNVERIFIED	FALSE	Does not meet volume criteria and category not significant in any Focus Area
AWS Elemental MediaConvert	AWS	Data	Data Engineering	PRIMARY	VERIFIED	FALSE	Matches Primary Focus area NOT volume criteria
AWS Elemental MediaLive	AWS	Data	Data Engineering	PRIMARY	VERIFIED	FALSE	Matches Primary Focus area NOT volume criteria
AWS Elemental MediaPackage	AWS	Unassigned	Unassigned	FALLBACK|UNASSIGNED	UNVERIFIED	FALSE	Does not meet volume criteria and category not significant in any Focus Area
AWS Elemental MediaStore	AWS	Unassigned	Unassigned	FALLBACK|UNASSIGNED	UNVERIFIED	FALSE	Does not meet volume criteria and category not significant in any Focus Area
AWS Elemental MediaTailor	AWS	Unassigned	Unassigned	FALLBACK|UNASSIGNED	UNVERIFIED	FALSE	Does not meet volume criteria and category not significant in any Focus Area
AWS Fargate	AWS	Infrastructure	Core Services	SECONDARY	UNVERIFIED	TRUE	SUGGESTED because Top Focus Area in category by volume: aws/category/compute
AWS Fargate	AWS	Infrastructure	Serverless	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
AWS Fault Injection Simulator	AWS	Infrastructure	DevOps	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  aws/category/developer-tools
AWS Firewall Manager	AWS	Infrastructure	Security and Identity	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  aws/category/security-identity-and-compliance
AWS Global Accelerator	AWS	Infrastructure	Networking	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
AWS Glue	AWS	Data	Data Analytics	SECONDARY	UNVERIFIED	TRUE	SUGGESTED because Top Focus Area in category by volume: aws/category/analytics
AWS Glue	AWS	Data	Data Engineering	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
AWS Ground Station	AWS	Unassigned	Unassigned	FALLBACK|UNASSIGNED	UNVERIFIED	FALSE	Does not meet volume criteria and category not significant in any Focus Area
AWS IAM Identity Center	AWS	Infrastructure	Security and Identity	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
AWS Identity and Access Management	AWS	Infrastructure	Security and Identity	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
AWS Inferentia	AWS	Data	AI/ML	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  aws/category/machine-learning-and-ai
AWS IoT 1-Click	AWS	Unassigned	Unassigned	FALLBACK|UNASSIGNED	UNVERIFIED	FALSE	Does not meet volume criteria and category not significant in any Focus Area
AWS IoT Analytics	AWS	Unassigned	Unassigned	FALLBACK|UNASSIGNED	UNVERIFIED	FALSE	Does not meet volume criteria and category not significant in any Focus Area
AWS IoT Button	AWS	Unassigned	Unassigned	FALLBACK|UNASSIGNED	UNVERIFIED	FALSE	Does not meet volume criteria and category not significant in any Focus Area
AWS IoT Core	AWS	Data	Data Engineering	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
AWS IoT Device Defender	AWS	Unassigned	Unassigned	FALLBACK|UNASSIGNED	UNVERIFIED	FALSE	Does not meet volume criteria and category not significant in any Focus Area
AWS IoT Device Management	AWS	Unassigned	Unassigned	FALLBACK|UNASSIGNED	UNVERIFIED	FALSE	Does not meet volume criteria and category not significant in any Focus Area
AWS IoT EduKit	AWS	Unassigned	Unassigned	FALLBACK|UNASSIGNED	UNVERIFIED	FALSE	Does not meet volume criteria and category not significant in any Focus Area
AWS IoT Events	AWS	Unassigned	Unassigned	FALLBACK|UNASSIGNED	UNVERIFIED	FALSE	Does not meet volume criteria and category not significant in any Focus Area
AWS IoT FleetWise	AWS	Unassigned	Unassigned	FALLBACK|UNASSIGNED	UNVERIFIED	FALSE	Does not meet volume criteria and category not significant in any Focus Area
AWS IoT Greengrass	AWS	Data	Data Engineering	PRIMARY	VERIFIED	FALSE	Matches Primary Focus area NOT volume criteria
AWS IoT RoboRunner	AWS	Unassigned	Unassigned	FALLBACK|UNASSIGNED	UNVERIFIED	FALSE	Does not meet volume criteria and category not significant in any Focus Area
AWS IoT SiteWise	AWS	Unassigned	Unassigned	FALLBACK|UNASSIGNED	UNVERIFIED	FALSE	Does not meet volume criteria and category not significant in any Focus Area
AWS IoT TwinMaker	AWS	Unassigned	Unassigned	FALLBACK|UNASSIGNED	UNVERIFIED	FALSE	Does not meet volume criteria and category not significant in any Focus Area
AWS Key Management Service (KMS)	AWS	Infrastructure	Security and Identity	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
AWS Lake Formation	AWS	Data	Data Analytics	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
AWS Lambda	AWS	Infrastructure	Core Services	SECONDARY	UNVERIFIED	TRUE	SUGGESTED because Top Focus Area in category by volume: aws/category/compute
AWS Lambda	AWS	Infrastructure	Serverless	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
AWS Launch Wizard	AWS	Infrastructure	Core Services	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  aws/category/management-and-governance
AWS License Manager	AWS	Infrastructure	Core Services	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  aws/category/management-and-governance
AWS Local Zones	AWS	Infrastructure	Networking	PRIMARY	VERIFIED	FALSE	Matches Primary Focus area NOT volume criteria
AWS Mainframe Modernization	AWS	Unassigned	Unassigned	FALLBACK|UNASSIGNED	UNVERIFIED	FALSE	Does not meet volume criteria and category not significant in any Focus Area
AWS Managed Services	AWS	Infrastructure	DevOps	PRIMARY	VERIFIED	FALSE	Matches Primary Focus area NOT volume criteria
AWS Management Console	AWS	Infrastructure	Core Services	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
AWS Management Console Mobile Application	AWS	Infrastructure	Core Services	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  aws/category/management-and-governance
AWS Migration Hub	AWS	Unassigned	Unassigned	FALLBACK|UNASSIGNED	UNVERIFIED	FALSE	Does not meet volume criteria and category not significant in any Focus Area
AWS Network Firewall	AWS	Infrastructure	Networking	PRIMARY	VERIFIED	FALSE	Matches Primary Focus area NOT volume criteria
AWS OpsWorks	AWS	Infrastructure	Core Services	SECONDARY	UNVERIFIED	TRUE	SUGGESTED because Top Focus Area in category by volume: aws/category/management-and-governance
AWS OpsWorks	AWS	Infrastructure	DevOps	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
AWS Organizations	AWS	Infrastructure	Core Services	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
AWS Outposts	AWS	Infrastructure	Core Services	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  aws/category/compute
AWS Panorama	AWS	Data	AI/ML	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  aws/category/machine-learning-and-ai
AWS Partner Device Catalog	AWS	Unassigned	Unassigned	FALLBACK|UNASSIGNED	UNVERIFIED	FALSE	Does not meet volume criteria and category not significant in any Focus Area
AWS Personal Health Dashboard	AWS	Infrastructure	DevOps	PRIMARY	VERIFIED	FALSE	Matches Primary Focus area NOT volume criteria
AWS Private 5G	AWS	Infrastructure	Networking	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  aws/category/networking-and-content-delivery
AWS PrivateLink	AWS	Infrastructure	Networking	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
AWS Proton	AWS	Infrastructure	Core Services	SECONDARY	UNVERIFIED	TRUE	SUGGESTED because Top Focus Area in category by volume: aws/category/management-and-governance
AWS Proton	AWS	Infrastructure	DevOps	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
AWS Resilience Hub	AWS	Infrastructure	Core Services	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  aws/category/management-and-governance
AWS Resource Access Manager	AWS	Infrastructure	Core Services	PRIMARY	VERIFIED	FALSE	Matches Primary Focus area NOT volume criteria
AWS RoboMaker	AWS	Unassigned	Unassigned	FALLBACK|UNASSIGNED	UNVERIFIED	FALSE	Does not meet volume criteria and category not significant in any Focus Area
AWS Secrets Manager	AWS	Infrastructure	Security and Identity	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
AWS Security Hub	AWS	Infrastructure	Security and Identity	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
AWS Serverless Application Repository	AWS	Infrastructure	Serverless	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  aws/category/serverless
AWS Serverless Application Repository	AWS	Infrastructure	Core Services	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  aws/category/compute
AWS Service Catalog	AWS	Infrastructure	DevOps	PRIMARY	VERIFIED	FALSE	Matches Primary Focus area NOT volume criteria
AWS Service Management Connector	AWS	Infrastructure	Core Services	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  aws/category/management-and-governance
AWS Shield	AWS	Infrastructure	Security and Identity	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
AWS SimSpace Weaver	AWS	Infrastructure	Core Services	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  aws/category/compute
AWS Snow Family	AWS	Infrastructure	Core Services	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  aws/category/storage
AWS Step Functions	AWS	Infrastructure	Serverless	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
AWS Storage Gateway	AWS	Infrastructure	Core Services	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  aws/category/storage
AWS Supply Chain (Preview)	AWS	Infrastructure	Serverless	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  aws/category/business-applications
AWS Systems Manager	AWS	Infrastructure	Core Services	SECONDARY	UNVERIFIED	TRUE	SUGGESTED because Top Focus Area in category by volume: aws/category/management-and-governance
AWS Systems Manager	AWS	Infrastructure	DevOps	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
AWS Tools and SDKs	AWS	Infrastructure	DevOps	PRIMARY	VERIFIED	FALSE	Matches Primary Focus area NOT volume criteria
AWS Transfer Family	AWS	Infrastructure	Core Services	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
AWS Transit Gateway	AWS	Infrastructure	Networking	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
AWS Trusted Advisor	AWS	Infrastructure	Core Services	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
AWS VPN	AWS	Infrastructure	Networking	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
AWS Verified Access (Preview)	AWS	Infrastructure	Networking	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  aws/category/networking-and-content-delivery
AWS WAF	AWS	Infrastructure	Security and Identity	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
AWS Wavelength	AWS	Infrastructure	Core Services	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  aws/category/compute
AWS Well-Architected Tool	AWS	Infrastructure	Core Services	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
AWS Wickr	AWS	Infrastructure	Serverless	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  aws/category/business-applications
AWS X-Ray	AWS	Infrastructure	DevOps	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Alexa for Business	AWS	Infrastructure	Serverless	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  aws/category/business-applications
Amazon API Gateway	AWS	Infrastructure	Networking	SECONDARY	UNVERIFIED	TRUE	SUGGESTED because Top Focus Area in category by volume: aws/category/networking-and-content-delivery
Amazon API Gateway	AWS	Infrastructure	Serverless	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Amazon AppFlow	AWS	Infrastructure	Serverless	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Amazon AppStream 2.0	AWS	Infrastructure	Core Services	PRIMARY	VERIFIED	FALSE	Matches Primary Focus area NOT volume criteria
Amazon Athena	AWS	Data	Data Analytics	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Amazon Augmented AI	AWS	Data	AI/ML	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  aws/category/machine-learning-and-ai
Amazon Aurora	AWS	Data	Databases	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Amazon Bedrock	AWS	Data	AI/ML	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Amazon Braket	AWS	Unassigned	Unassigned	FALLBACK|UNASSIGNED	UNVERIFIED	FALSE	Does not meet volume criteria and category not significant in any Focus Area
Amazon Chime	AWS	Infrastructure	Serverless	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  aws/category/business-applications
Amazon Chime SDK	AWS	Infrastructure	Serverless	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  aws/category/business-applications
Amazon CloudFront	AWS	Infrastructure	Networking	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Amazon CloudSearch	AWS	Data	Data Analytics	PRIMARY	VERIFIED	FALSE	Matches Primary Focus area NOT volume criteria
Amazon CloudWatch	AWS	Infrastructure	Core Services	SECONDARY	UNVERIFIED	TRUE	SUGGESTED because Top Focus Area in category by volume: aws/category/management-and-governance
Amazon CloudWatch	AWS	Infrastructure	DevOps	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Amazon CodeCatalyst (Preview)	AWS	Infrastructure	DevOps	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  aws/category/developer-tools
Amazon CodeGuru	AWS	Data	AI/ML	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  aws/category/machine-learning-and-ai
Amazon CodeGuru	AWS	Infrastructure	DevOps	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  aws/category/developer-tools
Amazon CodeWhisperer	AWS	Data	AI/ML	SECONDARY	UNVERIFIED	TRUE	SUGGESTED because Top Focus Area in category by volume: aws/category/machine-learning-and-ai
Amazon CodeWhisperer	AWS	Infrastructure	DevOps	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Amazon Cognito	AWS	Infrastructure	Security and Identity	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Amazon Comprehend	AWS	Data	AI/ML	PRIMARY	VERIFIED	FALSE	Matches Primary Focus area NOT volume criteria
Amazon Connect	AWS	Infrastructure	Serverless	PRIMARY	VERIFIED	TRUE	Matches Primary Focus area and meets volume criteria
Amazon Corretto	AWS	Infrastructure	DevOps	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  aws/category/developer-tools
Amazon Dash Cart	AWS	Infrastructure	Serverless	FALLBACK|SUGGESTED FOCUS AREA	UNVERIFIED	FALSE	SUGGESTED Focus Area, does not meet volume requirements, shares top category with FA:  aws/category/business-applications
